env,scenario,algo,attack,exp_name,vanilla_reward,adv_reward,vanilla_win_rate,adv_win_rate,srr,tpr,trr,w-srr,w-tpr,w-trr
smac,2s3z,mappo,adaptive_action,default,27.726232394366196,14.995774647887329,0.9,0.0,-0.4591484903324124,0.0,0.0,-0.9,0.0,-0.9
smac,2s3z,mappo,adaptive_action,entropy_coef_0.0001,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,entropy_coef_0.001,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,entropy_coef_0.1,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,entropy_coef_0.5,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,entropy_coef_1.0,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,gamma_0.95,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,gamma_1.0,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,hidden_sizes_64_64,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,hidden_sizes_256_256,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,activation_func_leaky_relu,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,activation_func_selu,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,activation_func_sigmoid,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,activation_func_tanh,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,initialization_method_xavier_uniform_,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,use_recurrent_policy_True,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,use_feature_normalization_False,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,lr_5e-05,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,lr_0.005,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,critic_lr_5e-05,28.070422535211275,13.925352112676055,0.95,0.1,-0.5039136979427999,0.012413880687049867,-0.03860685144616968,-0.85,0.04999999999999993,-0.8
smac,2s3z,mappo,adaptive_action,critic_lr_0.005,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,use_gae_False,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,use_popart_False,,,,,,,,,,
smac,2s3z,mappo,adaptive_action,share_param_False,,,,,,,,,,
